Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens OX=9606	Nascent polypeptide-associated complex subunit alpha, muscle-specific form 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	7	0	7	4.4346892E7	0	4.4346892E7	6M(15.9949)		
sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	Homo sapiens OX=9606	Uncharacterized protein C11orf98 	4:Protein predicted	1.0000	0.9990	1	0	1	1	0	1	2428489.8	0	2428489.8			
sp|G2XKQ0|SUMO5_HUMAN	G2XKQ0	SUMO5_HUMAN	SUMO1P1	101	Homo sapiens OX=9606	Small ubiquitin-related modifier 5 	1:Experimental evidence at protein level	1.0000	0.9989	2	0	2	1	0	1	4920997.0	0	4920997.0			sp|P63165|SUMO1_HUMAN, tr|B8ZZN6|B8ZZN6_HUMAN
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens OX=9606	Alkyldihydroxyacetonephosphate synthase, peroxisomal 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	3	0	3	3921093.2	0	3921093.2	10M(15.9949)		
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	706	Homo sapiens OX=9606	Kinesin-like protein KIF2A 	1:Experimental evidence at protein level	1.0000	0.9988	2	0	2	2	0	2	862186.6	0	862186.6			tr|A0A6Q8PFA6|A0A6Q8PFA6_HUMAN, tr|A0A6Q8PG37|A0A6Q8PG37_HUMAN, tr|A0A6Q8PGH7|A0A6Q8PGH7_HUMAN, tr|A0A6Q8PH57|A0A6Q8PH57_HUMAN
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens OX=9606	ATP-dependent RNA helicase DDX39A 	1:Experimental evidence at protein level	1.0000	0.9990	12	0	4	19	0	3	5.1822568E7	0	1.309159E7	7C(57.0214),6C(57.0214),2C(57.0214)		
sp|O00154|BACH_HUMAN	O00154	BACH_HUMAN	ACOT7	380	Homo sapiens OX=9606	Cytosolic acyl coenzyme A thioester hydrolase 	1:Experimental evidence at protein level	1.0000	0.9990	7	1	7	6	0	6	5447978.0	88642.15	5447978.0	1C(57.0214),2C(57.0214)		
sp|O00159|MYO1C_HUMAN	O00159	MYO1C_HUMAN	MYO1C	1063	Homo sapiens OX=9606	Unconventional myosin-Ic 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	5	0	5	3260438.8	0	3260438.8			tr|F5H6E2|F5H6E2_HUMAN
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	Homo sapiens OX=9606	AH receptor-interacting protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	1	0	1	4611746.5	0	4611746.5	7C(57.0214)		tr|A0A804HKH9|A0A804HKH9_HUMAN
sp|O00186|STXB3_HUMAN	O00186	STXB3_HUMAN	STXBP3	592	Homo sapiens OX=9606	Syntaxin-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9988	1	1	1	1	1	1	698024.56	698024.56	698024.56			
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	Homo sapiens OX=9606	AP-3 complex subunit beta-1 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	2	2	2	1881082.8	1881082.8	1881082.8			
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	1520990.4	0	1520990.4			tr|E9PKH6|E9PKH6_HUMAN, tr|E9PPW7|E9PPW7_HUMAN
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 11 	1:Experimental evidence at protein level	1.0000	0.9990	17	8	17	19	10	19	1.2950036E7	1.2950036E7	1.2950036E7	12M(15.9949),N-term(42.0106),7M(15.9949),2M(15.9949),8C(57.0214)		
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 12 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2186993.0	2186993.0	2186993.0	5M(15.9949),7C(57.0214)		
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 9 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	3	0	3	3296684.0	0	3296684.0	5C(57.0214)		tr|J3KN29|J3KN29_HUMAN
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens OX=9606	Membrane-associated progesterone receptor component 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	4	3	4	1.3863332E7	8079122.0	1.3863332E7	6C(57.0214)		
sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	Homo sapiens OX=9606	Transcription elongation factor SPT5 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	2	2	2	9342693.0	9342693.0	9342693.0			
sp|O00273|DFFA_HUMAN	O00273	DFFA_HUMAN	DFFA	331	Homo sapiens OX=9606	DNA fragmentation factor subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	1324158.2	1324158.2	1324158.2			
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	Homo sapiens OX=9606	Chloride intracellular channel protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	9	8	9	10	9	10	3.79596E7	3.79596E7	3.79596E7	N-term(42.0106),8C(57.0214),4C(57.0214),2C(57.0214)		
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit F 	1:Experimental evidence at protein level	1.0000	0.9990	7	0	7	7	0	7	1.3738881E7	0	1.3738881E7	5M(15.9949)		tr|H0YDT6|H0YDT6_HUMAN
sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	Homo sapiens OX=9606	Importin-5 	1:Experimental evidence at protein level	1.0000	0.9990	17	0	17	18	0	18	1.2915186E7	0	1.2915186E7	13C(57.0214),13C(57.0214), 7M(15.9949),16C(57.0214),2C(57.0214),9C(57.0214),4C(57.0214),4C(57.0214), 9C(57.0214),4C(57.0214), 6M(15.9949), 9C(57.0214),5C(57.0214),2C(57.0214),2M(15.9949)		
sp|O00422|SAP18_HUMAN	O00422	SAP18_HUMAN	SAP18	153	Homo sapiens OX=9606	Histone deacetylase complex subunit SAP18 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	1	0	1	3.1987824E7	0	3.1987824E7			
sp|O00425|IF2B3_HUMAN	O00425	IF2B3_HUMAN	IGF2BP3	579	Homo sapiens OX=9606	Insulin-like growth factor 2 mRNA-binding protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	8	5	8	8	4	8	7716292.0	1646983.2	7716292.0	1M(15.9949)		
sp|O00429|DNM1L_HUMAN	O00429	DNM1L_HUMAN	DNM1L	736	Homo sapiens OX=9606	Dynamin-1-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	10	9	10	8	7	8	2472606.0	2472606.0	2472606.0	8C(57.0214),5C(57.0214),6C(57.0214),2C(57.0214)		
sp|O00483|NDUA4_HUMAN	O00483	NDUA4_HUMAN	NDUFA4	81	Homo sapiens OX=9606	Cytochrome c oxidase subunit NDUFA4 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	1	1	1	9596232.0	9596232.0	9596232.0			
sp|O00487|PSDE_HUMAN	O00487	PSDE_HUMAN	PSMD14	310	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 14 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	6659012.0	6659012.0	6659012.0			
sp|O00505|IMA4_HUMAN	O00505	IMA4_HUMAN	KPNA3	521	Homo sapiens OX=9606	Importin subunit alpha-4 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	1	3	1	1	2803619.5	0	0			
sp|O00534|VMA5A_HUMAN	O00534	VMA5A_HUMAN	VWA5A	786	Homo sapiens OX=9606	von Willebrand factor A domain-containing protein 5A 	1:Experimental evidence at protein level	1.0000	0.9986	1	0	1	1	0	1	0	0	0			
sp|O00541|PESC_HUMAN	O00541	PESC_HUMAN	PES1	588	Homo sapiens OX=9606	Pescadillo homolog 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	3	0	3	5673586.5	0	5673586.5			tr|B5MCF9|B5MCF9_HUMAN
sp|O00567|NOP56_HUMAN	O00567	NOP56_HUMAN	NOP56	594	Homo sapiens OX=9606	Nucleolar protein 56 	1:Experimental evidence at protein level	1.0000	0.9990	11	1	11	9	0	9	1.609904E7	5900682.5	1.609904E7	9C(57.0214),1M(15.9949),8C(57.0214)		
sp|O00571|DDX3X_HUMAN	O00571	DDX3X_HUMAN	DDX3X	662	Homo sapiens OX=9606	ATP-dependent RNA helicase DDX3X 	1:Experimental evidence at protein level	1.0000	0.9990	16	0	16	17	0	17	2.769976E7	0	2.769976E7	6C(57.0214),4C(57.0214),6C(57.0214),4M(15.9949), 6C(57.0214),1M(15.9949),1M(15.9949), 4M(15.9949),4M(15.9949),2C(57.0214),2C(57.0214)		tr|A0A0D9SF53|A0A0D9SF53_HUMAN, tr|A0A0D9SFB3|A0A0D9SFB3_HUMAN, tr|A0A0D9SG12|A0A0D9SG12_HUMAN, tr|A0A2R8Y4A4|A0A2R8Y4A4_HUMAN, tr|A0A2R8YF78|A0A2R8YF78_HUMAN, tr|A0A2R8YFS5|A0A2R8YFS5_HUMAN
sp|O00592|PODXL_HUMAN	O00592	PODXL_HUMAN	PODXL	558	Homo sapiens OX=9606	Podocalyxin 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	2	2	2	1.8480102E7	1.8480102E7	1.8480102E7	6C(57.0214)		
sp|O00625|PIR_HUMAN	O00625	PIR_HUMAN	PIR	290	Homo sapiens OX=9606	Pirin 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2477815.5	2477815.5	2477815.5			
sp|O00629|IMA3_HUMAN	O00629	IMA3_HUMAN	KPNA4	521	Homo sapiens OX=9606	Importin subunit alpha-3 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	2803619.5	0	2803619.5			tr|H7C4F6|H7C4F6_HUMAN
sp|O00743|PPP6_HUMAN	O00743	PPP6_HUMAN	PPP6C	305	Homo sapiens OX=9606	Serine/threonine-protein phosphatase 6 catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9988	1	1	1	1	1	1	1818738.0	1818738.0	1818738.0			
sp|O00764|PDXK_HUMAN	O00764	PDXK_HUMAN	PDXK	312	Homo sapiens OX=9606	Pyridoxal kinase 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	3	0	3	9696739.0	0	9696739.0	5C(57.0214)		
sp|O14579|COPE_HUMAN	O14579	COPE_HUMAN	COPE	308	Homo sapiens OX=9606	Coatomer subunit epsilon 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	1327133.0	0	1327133.0			tr|M0QXB4|M0QXB4_HUMAN
sp|O14617|AP3D1_HUMAN	O14617	AP3D1_HUMAN	AP3D1	1153	Homo sapiens OX=9606	AP-3 complex subunit delta-1 	1:Experimental evidence at protein level	1.0000	0.9989	1	0	1	1	0	1	365924.9	0	365924.9			tr|A0A2R8Y611|A0A2R8Y611_HUMAN
sp|O14684|PTGES_HUMAN	O14684	PTGES_HUMAN	PTGES	152	Homo sapiens OX=9606	Prostaglandin E synthase 	1:Experimental evidence at protein level	1.0000	0.9989	1	1	1	1	1	1	4424047.5	4424047.5	4424047.5			
sp|O14732|IMPA2_HUMAN	O14732	IMPA2_HUMAN	IMPA2	288	Homo sapiens OX=9606	Inositol monophosphatase 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	1	2	0	1	2795264.0	0	1523436.0			
sp|O14737|PDCD5_HUMAN	O14737	PDCD5_HUMAN	PDCD5	125	Homo sapiens OX=9606	Programmed cell death protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	6	0	6	8760726.0	0	8760726.0	9M(15.9949)		
sp|O14744|ANM5_HUMAN	O14744	ANM5_HUMAN	PRMT5	637	Homo sapiens OX=9606	Protein arginine N-methyltransferase 5 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	3	0	3	1.1360068E7	0	1.1360068E7			
sp|O14745|NHRF1_HUMAN	O14745	NHRF1_HUMAN	SLC9A3R1	358	Homo sapiens OX=9606	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	1404831.0	0	1404831.0	N-term(42.0106)		
sp|O14773|TPP1_HUMAN	O14773	TPP1_HUMAN	TPP1	563	Homo sapiens OX=9606	Tripeptidyl-peptidase 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	3	0	3	8883677.0	0	8883677.0			tr|A0A2R8YGD1|A0A2R8YGD1_HUMAN, tr|A0A804HJ17|A0A804HJ17_HUMAN
sp|O14776|TCRG1_HUMAN	O14776	TCRG1_HUMAN	TCERG1	1098	Homo sapiens OX=9606	Transcription elongation regulator 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	4	0	4	2.6826856E7	0	2.6826856E7			tr|A0A7P0T8N8|A0A7P0T8N8_HUMAN
sp|O14818|PSA7_HUMAN	O14818	PSA7_HUMAN	PSMA7	248	Homo sapiens OX=9606	Proteasome subunit alpha type-7 	1:Experimental evidence at protein level	1.0000	0.9990	9	2	9	6	2	6	2.4078048E7	4599443.0	2.4078048E7	7M(15.9949)		
sp|O14828|SCAM3_HUMAN	O14828	SCAM3_HUMAN	SCAMP3	347	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	4288970.5	4288970.5	4288970.5			
sp|O14929|HAT1_HUMAN	O14929	HAT1_HUMAN	HAT1	419	Homo sapiens OX=9606	Histone acetyltransferase type B catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	2	1	2	3394814.0	3394814.0	3394814.0	1C(57.0214),2C(57.0214), 7C(57.0214)		
sp|O14949|QCR8_HUMAN	O14949	QCR8_HUMAN	UQCRQ	82	Homo sapiens OX=9606	Cytochrome b-c1 complex subunit 8 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	3268977.2	3268977.2	3268977.2			
sp|O14950|ML12B_HUMAN	O14950	ML12B_HUMAN	MYL12B	172	Homo sapiens OX=9606	Myosin regulatory light chain 12B 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	4	0	4	6660144.0	0	6660144.0	5M(15.9949),6M(15.9949)		sp|P19105|ML12A_HUMAN, tr|J3QRS3|J3QRS3_HUMAN
sp|O14975|S27A2_HUMAN	O14975	S27A2_HUMAN	SLC27A2	620	Homo sapiens OX=9606	Very long-chain acyl-CoA synthetase 	1:Experimental evidence at protein level	1.0000	0.9990	6	1	6	7	1	7	7218808.5	1248386.0	7218808.5	8C(57.0214),1M(15.9949),5C(57.0214), 8C(57.0214), 9C(57.0214)		
sp|O14979|HNRDL_HUMAN	O14979	HNRDL_HUMAN	HNRNPDL	420	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein D-like 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	4	8	0	5	4.0304412E7	0	2.2986212E7	3C(57.0214)		tr|A0A087WUK2|A0A087WUK2_HUMAN
sp|O14980|XPO1_HUMAN	O14980	XPO1_HUMAN	XPO1	1071	Homo sapiens OX=9606	Exportin-1 	1:Experimental evidence at protein level	1.0000	0.9990	18	0	18	15	0	15	1.3197725E7	0	1.3197725E7	11M(15.9949),3M(15.9949),6M(15.9949),10M(15.9949), 6C(57.0214),7C(57.0214),6C(57.0214)		tr|A0A7I2V2Y6|A0A7I2V2Y6_HUMAN
sp|O15042|SR140_HUMAN	O15042	SR140_HUMAN	U2SURP	1029	Homo sapiens OX=9606	U2 snRNP-associated SURP motif-containing protein 	1:Experimental evidence at protein level	1.0000	0.9990	7	1	7	6	1	6	1.275852E7	916165.75	1.275852E7	2C(57.0214)		
sp|O15067|PUR4_HUMAN	O15067	PUR4_HUMAN	PFAS	1338	Homo sapiens OX=9606	Phosphoribosylformylglycinamidine synthase 	1:Experimental evidence at protein level	1.0000	0.9990	9	6	9	5	3	5	7498608.0	7498608.0	7498608.0	15C(57.0214),2C(57.0214),1C(57.0214), 4C(57.0214)		
sp|O15118|NPC1_HUMAN	O15118	NPC1_HUMAN	NPC1	1278	Homo sapiens OX=9606	NPC intracellular cholesterol transporter 1 	1:Experimental evidence at protein level	1.0000	0.9984	1	0	1	1	0	1	434271.12	0	434271.12	4M(15.9949)		
sp|O15143|ARC1B_HUMAN	O15143	ARC1B_HUMAN	ARPC1B	372	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 1B 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	2	1	2	7053499.5	1882824.5	7053499.5			
sp|O15144|ARPC2_HUMAN	O15144	ARPC2_HUMAN	ARPC2	300	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	8	4	8	4	1	4	7048242.5	4350682.0	7048242.5	2C(57.0214),3C(57.0214)		
sp|O15145|ARPC3_HUMAN	O15145	ARPC3_HUMAN	ARPC3	178	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	1	1	1	6099345.0	5193712.0	6099345.0			
sp|O15160|RPAC1_HUMAN	O15160	RPAC1_HUMAN	POLR1C	346	Homo sapiens OX=9606	DNA-directed RNA polymerases I and III subunit RPAC1 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	4	0	4	2890113.0	0	2890113.0	9M(15.9949)		tr|A0A2R8Y5D3|A0A2R8Y5D3_HUMAN, tr|A0A2R8YEZ4|A0A2R8YEZ4_HUMAN
sp|O15173|PGRC2_HUMAN	O15173	PGRC2_HUMAN	PGRMC2	223	Homo sapiens OX=9606	Membrane-associated progesterone receptor component 2 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	4	5	4	4	1.0919456E7	6986817.5	6986817.5			
sp|O15212|PFD6_HUMAN	O15212	PFD6_HUMAN	PFDN6	129	Homo sapiens OX=9606	Prefoldin subunit 6 	1:Experimental evidence at protein level	1.0000	0.9990	5	3	5	4	2	4	1.1515501E7	9123810.0	1.1515501E7			
sp|O15260|SURF4_HUMAN	O15260	SURF4_HUMAN	SURF4	269	Homo sapiens OX=9606	Surfeit locus protein 4 	1:Experimental evidence at protein level	1.0000	0.9989	1	0	1	3	0	3	7216815.0	0	7216815.0	2M(15.9949), 9M(15.9949),9M(15.9949)		tr|Q5T8U5|Q5T8U5_HUMAN
sp|O15294|OGT1_HUMAN	O15294	OGT1_HUMAN	OGT	1046	Homo sapiens OX=9606	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	1	1	1	1317423.2	1317423.2	1317423.2			
sp|O15305|PMM2_HUMAN	O15305	PMM2_HUMAN	PMM2	246	Homo sapiens OX=9606	Phosphomannomutase 2 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	923779.4	0	923779.4			tr|A0A804HKA7|A0A804HKA7_HUMAN
sp|O15347|HMGB3_HUMAN	O15347	HMGB3_HUMAN	HMGB3	200	Homo sapiens OX=9606	High mobility group protein B3 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	3	0	3	9942624.0	0	9942624.0			tr|E7EQU1|E7EQU1_HUMAN, tr|E7ES08|E7ES08_HUMAN, tr|E9PES6|E9PES6_HUMAN
sp|O15355|PPM1G_HUMAN	O15355	PPM1G_HUMAN	PPM1G	546	Homo sapiens OX=9606	Protein phosphatase 1G 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	1	1	1	9531128.0	9531128.0	9531128.0			
sp|O15371|EIF3D_HUMAN	O15371	EIF3D_HUMAN	EIF3D	548	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit D 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	4	5	4	5	9283556.0	5307273.5	9283556.0	17C(57.0214), 4M(15.9949)		
sp|O15372|EIF3H_HUMAN	O15372	EIF3H_HUMAN	EIF3H	352	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit H 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	4680350.0	0	4680350.0			tr|B3KS98|B3KS98_HUMAN
sp|O15382|BCAT2_HUMAN	O15382	BCAT2_HUMAN	BCAT2	392	Homo sapiens OX=9606	Branched-chain-amino-acid aminotransferase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	3	0	3	3141997.0	0	3141997.0	12C(57.0214), 9C(57.0214),7M(15.9949)		
sp|O15397|IPO8_HUMAN	O15397	IPO8_HUMAN	IPO8	1037	Homo sapiens OX=9606	Importin-8 	1:Experimental evidence at protein level	1.0000	0.9988	3	0	3	3	0	3	690731.5	0	690731.5			
sp|O15427|MOT4_HUMAN	O15427	MOT4_HUMAN	SLC16A3	465	Homo sapiens OX=9606	Monocarboxylate transporter 4 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	3	0	3	1.1721306E7	0	1.1721306E7			tr|J3KTM6|J3KTM6_HUMAN, tr|J3QQV2|J3QQV2_HUMAN
sp|O15498|YKT6_HUMAN	O15498	YKT6_HUMAN	YKT6	198	Homo sapiens OX=9606	Synaptobrevin homolog YKT6 	1:Experimental evidence at protein level	1.0000	0.9972	1	0	1	1	0	1	997494.25	0	997494.25			tr|A0A7I2V4L6|A0A7I2V4L6_HUMAN
sp|O15511|ARPC5_HUMAN	O15511	ARPC5_HUMAN	ARPC5	151	Homo sapiens OX=9606	Actin-related protein 2/3 complex subunit 5 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	1772876.4	1772876.4	1772876.4			
sp|O43143|DHX15_HUMAN	O43143	DHX15_HUMAN	DHX15	795	Homo sapiens OX=9606	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	7	7	7	9946672.0	9946672.0	9946672.0	2C(57.0214),4M(15.9949),8M(15.9949)		
sp|O43148|MCES_HUMAN	O43148	MCES_HUMAN	RNMT	476	Homo sapiens OX=9606	mRNA cap guanine-N7 methyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	1934189.5	0	1934189.5	3C(57.0214)		tr|K7EP06|K7EP06_HUMAN
sp|O43159|RRP8_HUMAN	O43159	RRP8_HUMAN	RRP8	456	Homo sapiens OX=9606	Ribosomal RNA-processing protein 8 	1:Experimental evidence at protein level	1.0000	0.9986	1	0	1	1	0	1	578790.9	0	578790.9	11C(57.0214)		
sp|O43169|CYB5B_HUMAN	O43169	CYB5B_HUMAN	CYB5B	150	Homo sapiens OX=9606	Cytochrome b5 type B 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	3	0	3	8899146.0	0	8899146.0			tr|H3BUX2|H3BUX2_HUMAN
sp|O43172|PRP4_HUMAN	O43172	PRP4_HUMAN	PRPF4	522	Homo sapiens OX=9606	U4/U6 small nuclear ribonucleoprotein Prp4 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	5675366.0	5675366.0	5675366.0	1C(57.0214)		
